strain,evolution_history,r_tref,e,eh,th,topt,tmax,rmax,b80,r2,n_obs
35_G9,35 evolved,2.7634757564101013,1.2892294923643177,1.8735865278007602,303,33.22858365525065,50,NA,13.074807480748078,0.4343825801730138,15
40_B2,40 evolved,6.032212916802957,0.4247249798645051,4.626869256772028,313.72374973565206,36.42802545598682,47.327436805334465,NA,9.317931793179316,0.9847688632871654,15
40_B6,40 evolved,6.2341254965125295,0.44360610564291675,2.2395018116834398,314.47938268289545,36.09668143018679,50,NA,13.069306930693074,0.7748000174223015,15
40_B8,40 evolved,6.291585588938918,0.45028596076592553,2.7000009796253894,313.23993894444106,35.13198114364974,53.5356782579567,NA,11.628162816281627,0.6078386296251603,15
40_C5,40 evolved,6.646574737083299,0.3857238801084423,3.4157140384601967,314.4000509918641,36.192592224798446,50.88393487677806,NA,11.237623762376241,0.8613242490192289,15
40_C7,40 evolved,6.137843900320837,0.45339848673646993,2.958424591650343,313.66979674490693,35.696524492548136,52.488658447924905,NA,11.089108910891092,0.7690617587750725,15
40_C9,40 evolved,6.220442327248301,0.4618914702486263,3.3745152248797536,313.65716828119787,35.94806004384258,50.64890105015686,NA,10.297029702970296,0.9646074255618275,15
40_D2,40 evolved,5.582160571537765,0.525227971991115,2.58850878763176,312.39686366454674,34.86401591028838,54.13995714748742,NA,11.111111111111107,0.6589094092676544,15
40_D4,40 evolved,6.950557661061433,0.3705487585520034,4.900442347279154,314.40595182554273,36.9636391326926,47.45707397567411,NA,9.867986798679873,0.8512219814925905,15
40_D8,40 evolved,6.197503322066268,0.45954016827769506,2.525473065875142,313.6185677096798,35.503849399665306,50,NA,11.980198019801978,0.7553827752015281,15
40_E11,40 evolved,5.579985686213058,0.5645433569296565,2.539656774489291,312.3815393554549,35.139196035822806,54.94806405262821,NA,10.92409240924092,0.8873389508004704,15
40_E7,40 evolved,5.500987852446477,0.5611585037517572,2.180247576176926,312.6471994288597,35.45633047809428,50,NA,12.051705170517053,0.8477198595746884,15
40_E9,40 evolved,6.4086274228759015,0.41581218505836953,3.030843977830113,313.9932222059234,35.772002787187155,52.20773826814876,NA,11.430143014301429,0.8006967209957483,15
40_F2,40 evolved,5.7863707807453055,0.5099396615637675,2.9709634520539017,312.79064841858184,35.23671408329871,51.88163509989928,NA,10.445544554455449,0.8902112034049255,15
40_F4,40 evolved,7.095888996021077,0.35418925066544366,4.048069625181985,314.5062874843083,36.49570503663347,49.07503629707847,NA,10.929592959295931,0.962284086168366,15
40_F6,40 evolved,6.640504875786062,0.42743737234651374,3.238898218218646,314.36051384718576,36.334741722952764,51.745705294235044,NA,10.94609460946095,0.8777431351424094,15
40_G11,40 evolved,6.319354142344591,0.4437285271597881,4.249565141734753,313.681247430525,36.301045406218705,48.073344387524976,NA,9.438943894389443,0.9489714234597204,15
40_G5,40 evolved,5.695723834190566,0.49034845976985597,2.768742398660539,313.15610583956277,35.38676127332505,53.33816882986157,NA,11.056105610561055,0.6967593413162998,15
40_G9,40 evolved,6.328237094246469,0.45129182291342657,4.35951328921277,313.7802861171277,36.484500030482394,47.970132397886665,NA,9.257425742574256,0.973688814924628,15
fRS585,fRS585,3.2987348536143766,1.0520197329643013,1.8897768373040866,305.84873834420216,33.6732669891269,50,NA,12.002200220022004,0.5701556421223973,45
