strain,evolution_history,topt,tmax,rmax,b80,th,th_c,r2,se_topt,se_tmax,se_rmax,se_b80,se_th,n_obs,n_boot_ok,n_total_iter
35_F4,35 evolved,37.85165189675417,42.63850615502878,NA,10.044004400440045,313.6516258536619,40.50162585366195,0.974981223965922,0.4928150027944486,0.31638248565206606,NA,1.179179103196478,0.17946173069577334,15,1000,1105
35_D4,35 evolved,38.44615401681147,42.30746397235919,NA,12.50825082508251,313.89893501452866,40.74893501452868,0.9733130940568466,0.501865430994237,0.29215613121844486,NA,2.008949923068126,0.1343415859081204,15,1000,1163
40_D8,40 evolved,39.73989659352534,42.213253432097645,NA,10.286028602860288,314.41277411997186,41.26277411997188,0.9904434025420601,0.07863358326673259,0.07921097203419872,NA,0.8319028431614662,0.029195232383248407,15,1000,1112
40_F2,40 evolved,39.97709695215855,42.56769786208486,NA,11.12761276127613,314.72818228187157,41.57818228187159,0.9216526551569066,0.23291655504900174,0.15717024151996567,NA,3.238711716230647,0.09144436650859213,15,1000,1182
35_F2,35 evolved,39.56065081166741,42.121567977103226,NA,10.742574257425744,314.2891034418221,41.1391034418221,0.9840949853899374,0.15044135504963524,0.13692708130070377,NA,1.2454180554210281,0.03621484002251847,15,1000,1111
40_D4,40 evolved,38.72043408622012,44.03407372848761,NA,12.403740374037401,314.875232227481,41.725232227481,0.7989347570393885,0.6897003903265331,0.9011127295873567,NA,3.8213996537049115,0.25110123566993753,15,1000,1144
40_B8,40 evolved,39.56903060224625,42.81156159238507,NA,10.24752475247525,314.64579236249836,41.49579236249838,0.9214832734795447,0.24653228146512995,0.20517727898676597,NA,2.382443959624954,0.09198817495695914,15,1000,1131
35_C5,35 evolved,38.65414685630288,42.47786076108895,NA,11.01210121012101,314.04513069586966,40.89513069586968,0.9299311520681812,0.5857816468699832,0.41733238154069824,NA,3.354345722822707,0.18076714626503074,15,1000,1196
40_C9,40 evolved,39.71801934488611,42.34631122914455,NA,10.027502750275026,314.4695151608505,41.31951516085053,0.9914061000373687,0.07163918957448978,0.06745084490633185,NA,0.6853357565645449,0.029448004182304942,15,1000,1101
35_E7,35 evolved,39.293593660693276,42.02883156712538,NA,11.105610561056107,314.1230919001456,40.97309190014562,0.9359404842217126,0.45829740255224244,0.3279254692314355,NA,4.214369849642091,0.11311333487266532,15,1000,1355
35_G9,35 evolved,38.758058324078505,42.05455981312816,NA,11.92519251925193,313.9034139508357,40.75341395083575,0.9879460021611384,0.36630316837300075,0.20115893452987654,NA,1.2548638200180027,0.0787309505068783,15,1000,1164
35_B6,35 evolved,37.01786487429431,42.41504085731985,NA,10.566556655665565,313.11069139120866,39.960691391208684,0.9879429214366213,0.39279346978753943,0.20150864781145267,NA,1.0061339770531004,0.18728469325221006,15,1000,1112
35_F6,35 evolved,38.79067652934679,42.03703380277543,NA,11.666666666666668,313.9041145899195,40.75411458991954,0.9737292197622591,0.5031904141724914,0.28920518560441877,NA,2.113109877660286,0.11896263519471661,15,1000,1190
40_F4,40 evolved,39.400133686482995,42.93485626150484,NA,11.309130913091309,314.65438864968587,41.50438864968589,0.917634437135196,0.2678696933098843,0.2632687299337084,NA,3.1071798344810824,0.09512509270433325,15,1000,1166
