well,block,test_temperature,strain,evolution_history,mu_max,doub_time,lag,auc_gc,n_obs
b5,1,38,40_D2,40 evolved,26.919074500815345,0.025749294632657252,0.017176759747158876,0.8557395833333338,97
b5,1,41,40_D2,40 evolved,9.410280666094868,0.0736585023502377,0.05332229539703909,0.5999635416666664,97
b5,1,42,40_D2,40 evolved,7.137970810524951,0.09710703489259138,0.041740721737651906,0.08437083333333324,97
b5,2,25,40_E11,40 evolved,10.988407512641269,0.06307985754646757,0.09230933618345194,0.6530666666666666,97
b5,2,35,40_E11,40 evolved,16.92676481151207,0.040949773230648814,0.06284510410987415,0.8662895833333335,97
b5,2,38,40_E11,40 evolved,19.347068164103863,0.03582698808318646,0.030286946593996236,0.8933322916666667,97
b5,2,41,40_E11,40 evolved,11.283084916088985,0.06143241726130768,0.04713098801442431,0.7295166666666666,97
b5,2,42,40_E11,40 evolved,7.910419711893429,0.08762457692577154,0.035629218716426506,0.10093124999999999,97
b5,3,25,35_D2,35 evolved,12.500048928463265,0.05545155739203651,0.03711136092703478,0.6553416666666665,97
b5,3,35,35_D2,35 evolved,17.29898674532349,0.04006865782166848,0.0535748307346785,0.8759906250000001,97
b5,3,38,35_D2,35 evolved,20.10710840122189,0.034472743008528435,0.025304353922776968,0.9018312500000005,97
b5,3,41,35_D2,35 evolved,11.088221859589009,0.06251202305809898,0.049692626637087955,0.5306177083333334,97
b5,3,42,35_D2,35 evolved,5.538039674388368,0.12516110777709405,0.03923885679114215,0.06389687499999999,97
b7,3,25,fRS585,fRS585,11.561947366389113,0.05995072963010907,0.08625612153691431,0.6696395833333332,97
b7,3,35,fRS585,fRS585,16.970919350929254,0.040843231072333834,0.05669998703440576,0.8950218750000004,97
b7,3,38,fRS585,fRS585,17.752113811102898,0.039045895488030426,0.037995665115026306,0.9089687499999999,97
b7,3,41,fRS585,fRS585,10.124927341054024,0.06845947207437317,0.21552551088564947,0.6485979166666668,97
b7,3,42,fRS585,fRS585,6.506337714203924,0.10653415346804736,0.034541314775047,0.07557812500000001,97
b8,1,25,40_G9,40 evolved,10.743791036227922,0.06451607055858236,0.0778760888178045,0.74894375,97
b8,1,35,40_G9,40 evolved,17.216916850019505,0.040259657788796255,0.04827188727627882,1.0128947916666666,97
b8,1,38,40_G9,40 evolved,23.042134061802926,0.030081726748955047,0.025330168665539346,0.922370833333333,97
b8,1,41,40_G9,40 evolved,14.359085946118539,0.04827237493813544,0.11413960156399916,0.8845541666666668,97
b8,1,42,40_G9,40 evolved,9.880446760549878,0.07015342497745208,0.04787661207284587,0.573890625,97
b8,2,25,35_B2,35 evolved,10.758166511749076,0.06442986170579847,0.10124105041490714,0.6024999999999998,97
b8,2,35,35_B2,35 evolved,17.014369745716856,0.04073892779569081,0.06457740254908301,0.8633083333333333,97
b8,2,38,35_B2,35 evolved,17.61638048548616,0.03934674214893449,0.043214512624181106,0.9236885416666665,97
b8,2,41,35_B2,35 evolved,11.17116279490423,0.062047898977546645,0.04410742437959808,0.6392562500000002,97
b8,2,42,35_B2,35 evolved,7.112540332077829,0.09745423550483433,0.03222299171905742,0.0664020833333333,97
b8,3,25,35_E11,35 evolved,11.793898568404842,0.05877167558629389,0.06085986255398021,0.6543302083333333,97
b8,3,35,35_E11,35 evolved,17.412189631605433,0.03980815711435805,0.0488275985124961,0.8862604166666668,97
b8,3,38,35_E11,35 evolved,17.895498535967793,0.038733046702599715,0.037248168355710154,0.8899562500000003,97
b8,3,41,35_E11,35 evolved,11.887460649094086,0.0583091041073409,0.07204341085771668,0.493403125,97
b8,3,42,35_E11,35 evolved,6.457387390276663,0.10734173724866888,0.039819058595196785,0.08127708333333335,97
b9,2,25,fRS585,fRS585,10.857872213737853,0.06383821497576157,0.10114523345590903,0.6057541666666666,97
b9,2,35,fRS585,fRS585,16.905432257060678,0.04100144675510721,0.06727616054652094,0.8760822916666665,97
b9,2,38,fRS585,fRS585,19.471136331780002,0.03559870203510508,0.029416494243402994,0.9071958333333334,97
b9,2,41,fRS585,fRS585,11.170208426915163,0.06205320026883055,0.046579651630357516,0.7074541666666666,97
b9,2,42,fRS585,fRS585,7.139465848993635,0.09708670021268467,0.03681193970373328,0.08189583333333333,97
b9,3,25,40_C5,40 evolved,10.847712638261372,0.06389800353994629,0.08629727327628212,0.6207218750000001,97
b9,3,35,40_C5,40 evolved,15.600268847046719,0.04443174584719831,0.05408936375477649,0.8498364583333333,97
b9,3,38,40_C5,40 evolved,18.009115129227947,0.03848868617842306,0.02809132674926812,0.9041104166666666,97
b9,3,41,40_C5,40 evolved,10.486758763633674,0.06609737061594893,0.043709661590833976,0.7573729166666668,97
b9,3,42,40_C5,40 evolved,7.414759042852949,0.09348209113121034,0.05168007321280718,0.23118229166666662,97
c10,1,25,35_B8,35 evolved,11.083065999871533,0.06254110374944802,0.08680886631850124,0.6891541666666666,97
c10,1,35,35_B8,35 evolved,16.74802665268196,0.04138679707969939,0.06290218169895602,0.8736822916666666,97
c10,1,38,35_B8,35 evolved,20.437330175075015,0.03391574019806631,0.02940501167707492,0.9032666666666667,97
c10,1,41,35_B8,35 evolved,10.577860949775486,0.06552810477005347,0.047105944622883755,0.5981270833333333,97
c10,1,42,35_B8,35 evolved,8.223063557082861,0.08429305887620304,0.03877085732751956,0.11279791666666666,97
c11,2,25,35_C7,35 evolved,10.968049280272103,0.0631969425781746,0.09387524687180987,0.6746572916666668,97
c11,2,35,35_C7,35 evolved,16.99719070732471,0.040780102576671265,0.07292188233893496,0.85531875,97
c11,2,38,35_C7,35 evolved,18.48341643751033,0.03750103141934676,0.02774633937822457,0.9252458333333332,97
c11,2,41,35_C7,35 evolved,11.235313362805607,0.06169362243643351,0.04201425926133889,0.7047416666666667,97
c11,2,42,35_C7,35 evolved,10.003004733117127,0.06929389708925464,0.03251665437016503,0.1512760416666667,97
c2,1,25,35_G5,35 evolved,11.193139822592158,0.06192607182132235,0.09186705907719203,0.6871041666666667,97
c2,1,35,35_G5,35 evolved,16.47811628823374,0.04206470985126435,0.0515749440256411,0.9026072916666663,97
c2,1,38,35_G5,35 evolved,19.59293944892735,0.03537739614654364,0.030555455352030587,0.8861916666666667,97
c2,1,41,35_G5,35 evolved,10.461021202352418,0.06625999194075566,0.037147191648479946,0.4908333333333334,97
c2,1,42,35_G5,35 evolved,7.242415157308251,0.09570663452791672,0.02798046659298644,0.06532083333333334,97
c2,2,25,40_B2,40 evolved,9.807268876832865,0.07067688153195495,0.1081746417141507,0.6120916666666666,97
c2,2,35,40_B2,40 evolved,15.728072938822105,0.04407069977714993,0.06426811913522953,0.9413447916666665,97
c2,2,38,40_B2,40 evolved,16.31176930790388,0.04249368461973529,0.038985829233224925,0.9308562499999998,97
c2,2,41,40_B2,40 evolved,10.401386216006852,0.06663988493122681,0.04626108008773028,0.7434572916666666,97
c2,2,42,40_B2,40 evolved,7.930664372692321,0.08740089707322138,0.06470687220748791,0.5308395833333334,97
c2,3,25,35_E11,35 evolved,11.3507859950751,0.06106600731092008,0.0703930279055707,0.6613791666666665,97
c2,3,35,35_E11,35 evolved,17.19309714126295,0.04031543443655719,0.05499949388011141,0.8928187500000001,97
c2,3,38,35_E11,35 evolved,17.5087939388163,0.03958851666094862,0.030886043399000335,0.9151166666666667,97
c2,3,41,35_E11,35 evolved,10.209708598103978,0.06789098571223356,0.04128290949169193,0.6046708333333334,97
c2,3,42,35_E11,35 evolved,5.276269317908131,0.13137069751298358,0.03645435160342675,0.05744374999999998,97
c3,2,25,40_G11,40 evolved,10.51670574306417,0.0659091542061144,0.09964315798885931,0.6943614583333333,97
c3,2,35,40_G11,40 evolved,17.328922221755956,0.03999943976260215,0.06011816858167002,1.0176677083333332,97
c3,2,38,40_G11,40 evolved,17.393905320074307,0.03985000307895111,0.04027328506488065,0.9446031249999997,97
c3,2,41,40_G11,40 evolved,12.705009505336333,0.05455699818790462,0.052185338361327355,0.7224708333333332,97
c3,2,42,40_G11,40 evolved,10.658508462369475,0.06503228692899615,0.07546343402952027,0.6400322916666665,97
c3,3,25,40_E7,40 evolved,11.378394704972818,0.060917835822395225,0.06588879258080901,0.6628520833333331,97
c3,3,35,40_E7,40 evolved,17.058826360522215,0.0406327590134827,0.050087073183943204,0.8823593750000002,97
c3,3,38,40_E7,40 evolved,18.030936929044906,0.038442105548236814,0.0285288217045344,0.8740718750000002,97
c3,3,41,40_E7,40 evolved,10.853036213000152,0.06386666062439458,0.046741768312959314,0.7546260416666666,97
c3,3,42,40_E7,40 evolved,5.538032404969942,0.12516127206801841,0.048062133957807174,0.08358958333333331,97
c4,1,25,40_C7,40 evolved,10.625318666318602,0.06523542515079248,0.09624287483029961,0.6480656250000002,97
c4,1,35,40_C7,40 evolved,15.3677480607444,0.04510401770123565,0.061896759809489416,0.8579677083333332,97
c4,1,38,40_C7,40 evolved,17.408358504359434,0.03981691785508473,0.02689710168789329,0.8683125,97
c4,1,41,40_C7,40 evolved,10.50880859509766,0.0659586835450878,0.038130481480185954,0.6316447916666666,97
c4,1,42,40_C7,40 evolved,7.288175592371519,0.09510571908907593,0.03166039961433839,0.11835833333333333,97
c4,2,25,40_E11,40 evolved,11.183155044657301,0.06198136194946998,0.09994824822641221,0.6656520833333331,97
c4,2,35,40_E11,40 evolved,18.492162213013593,0.0374832954943556,0.07543525531841486,0.8203645833333335,97
c4,2,38,40_E11,40 evolved,17.60201015091544,0.03937886494877952,0.03739061580338185,0.9162479166666668,97
c4,2,41,40_E11,40 evolved,11.17141972982464,0.0620464719188226,0.04393404215687727,0.7388145833333334,97
c4,2,42,40_E11,40 evolved,9.945140800932396,0.06969707060305873,0.09137663728568857,0.17106874999999996,97
c4,3,25,35_C9,35 evolved,11.988879028396136,0.05781584574489397,0.0587639671099055,0.6034770833333333,97
c4,3,35,35_C9,35 evolved,18.39121831196634,0.037689030101336216,0.04702109678269589,0.87225625,97
c4,3,38,35_C9,35 evolved,17.931246181521264,0.0386558286882624,0.0310700230884874,0.9078979166666666,97
c4,3,41,35_C9,35 evolved,10.92890502891693,0.06342329617888877,0.05889651323584644,0.5716864583333333,97
c4,3,42,35_C9,35 evolved,5.096138306201656,0.13601420112881002,0.02891931305999479,0.061667708333333356,97
c5,1,25,35_G5,35 evolved,11.075021950955549,0.062586528824003,0.08319043789227629,0.6999427083333332,97
c5,1,35,35_G5,35 evolved,16.47890909163139,0.04206268611020808,0.061646287576640174,0.8959489583333335,97
c5,1,38,35_G5,35 evolved,18.839040411993956,0.036793125626433186,0.03240469323011233,0.9268187499999998,97
c5,1,41,35_G5,35 evolved,9.594651067446863,0.07224308374399192,0.045691312488590874,0.3117375,97
c5,1,42,35_G5,35 evolved,7.7326967301691045,0.08963847991809024,0.03640203544944073,0.07590937499999997,97
c5,2,25,40_E9,40 evolved,11.569005869777497,0.05991415237939337,0.09187855243521437,0.4980979166666667,97
c5,2,35,40_E9,40 evolved,15.267066650830538,0.04540146423754806,0.06815799956154756,0.8073979166666667,97
c5,2,38,40_E9,40 evolved,17.75900238777301,0.039030749893765086,0.04661257093886122,0.8209447916666668,97
c5,2,41,40_E9,40 evolved,10.102576432681285,0.068610931595395,0.04652954808327914,0.6849281249999999,97
c5,2,42,40_E9,40 evolved,7.125910220665134,0.09727138836942108,0.04985733785035312,0.09803125,97
c5,3,25,35_D2,35 evolved,11.339868538432254,0.06112479859980576,0.06540664637597676,0.6765739583333332,97
c5,3,35,35_D2,35 evolved,17.175598091469414,0.04035650909322395,0.05189957795595185,0.8782593749999998,97
c5,3,38,35_D2,35 evolved,17.689909057225965,0.03918319638148784,0.0335524774647962,0.89985,97
c5,3,41,35_D2,35 evolved,9.69833239374666,0.07147075934486183,0.04561553064044212,0.43569583333333317,97
c5,3,42,35_D2,35 evolved,5.902490911262651,0.11743299413427954,0.03838873370625072,0.05564791666666666,97
c6,1,25,35_F4,35 evolved,11.01786960582407,0.06291118023338615,0.08704448721706576,0.6762635416666667,97
c6,1,35,35_F4,35 evolved,16.377052843873127,0.04232429284853049,0.06389791172818479,0.8995229166666666,97
c6,1,38,35_F4,35 evolved,19.56775959386464,0.03542291989202881,0.024965857338352916,1.1148947916666663,97
c6,1,41,35_F4,35 evolved,9.884954089904522,0.07012143650397473,0.05192982269192714,0.40224270833333314,97
c6,1,42,35_F4,35 evolved,9.0232332543866125,0.07681804969665106,0.027360077821278098,0.12588124999999997,97
c7,1,25,35_D4,35 evolved,11.288493311890868,0.06140298456214795,0.07405109001760299,0.6837479166666667,97
c7,1,35,35_D4,35 evolved,16.702756204139238,0.0414989701153736,0.05626899247542569,0.8997604166666668,97
c7,1,38,35_D4,35 evolved,18.218374517803266,0.03804659849771952,0.028147030903273904,0.9088864583333335,97
c7,1,41,35_D4,35 evolved,10.540679321697072,0.0657592513162944,0.043097454856972445,0.4984510416666666,97
c7,1,42,35_D4,35 evolved,7.775633897634357,0.08914349488224066,0.03611471880702155,0.08335312499999999,97
c7,3,25,40_D8,40 evolved,11.413842151376112,0.060728646091918824,0.0742087502635993,0.627684375,97
c7,3,35,40_D8,40 evolved,16.190303231907674,0.042812489094947795,0.04536899806522182,0.8633593750000002,97
c7,3,38,40_D8,40 evolved,17.15173844029339,0.0404126487220434,0.022101549654038655,0.8826822916666663,97
c7,3,41,40_D8,40 evolved,10.350353368060834,0.0669684556566795,0.041218385018352996,0.7073562499999999,97
c7,3,42,40_D8,40 evolved,6.267667154529267,0.11059093654312026,0.054145432328404186,0.10104166666666665,97
c8,1,25,40_F2,40 evolved,10.860313057762859,0.06382386740357264,0.07841433988537058,0.6361354166666665,97
c8,1,35,40_F2,40 evolved,15.716713815942109,0.044102551505191726,0.06192286434565153,0.8317947916666669,97
c8,1,38,40_F2,40 evolved,19.351535515540938,0.03581871733141222,0.028075957679856614,0.8385270833333335,97
c8,1,41,40_F2,40 evolved,10.57283905120083,0.06555922938042075,0.04755936948748088,0.7707895833333331,97
c8,1,42,40_F2,40 evolved,8.93456810838772,0.07758037905707191,0.035234576216818275,0.2542072916666666,97
c8,3,25,35_F2,35 evolved,11.646469146874036,0.05951564992090234,0.05336168384486385,0.6525354166666668,97
c8,3,35,35_F2,35 evolved,18.238019258959312,0.03800561731611513,0.05846902980341109,0.7872864583333337,97
c8,3,38,35_F2,35 evolved,18.039608102385145,0.038423627421723165,0.02967836739308094,0.8727729166666665,97
c8,3,41,35_F2,35 evolved,9.774703126469532,0.07091235115703193,0.041678815317607004,0.5346093749999999,97
c8,3,42,35_F2,35 evolved,5.964349443486032,0.11621505197301382,0.0380378665923618,0.0703760416666667,97
c9,1,25,40_D4,40 evolved,11.127316756527971,0.062292392292445736,0.0780238664489204,0.6361770833333334,97
c9,1,35,40_D4,40 evolved,16.141037684229573,0.04294316103587177,0.06427207743866517,0.8540364583333332,97
c9,1,38,40_D4,40 evolved,19.885682114503176,0.03485659564347626,0.02438522125350029,0.879896875,97
c9,1,41,40_D4,40 evolved,10.800646709451145,0.06417645157797859,0.04144092380302283,0.7588489583333333,97
c9,1,42,40_D4,40 evolved,9.408517115498029,0.07367230904200299,0.0315649205406356,0.47730208333333335,97
c9,2,25,fRS585,fRS585,10.969191893286572,0.06319035962750995,0.11528479794524865,0.628789583333333,97
c9,2,35,fRS585,fRS585,16.839762580918023,0.041161339254591686,0.07145991970093601,0.8731895833333331,97
c9,2,38,fRS585,fRS585,18.31607308009632,0.0378436566358306,0.037906373020646006,0.9015718749999999,97
c9,2,41,fRS585,fRS585,10.881668752222842,0.06369861060311667,0.04646130161225112,0.6333968749999997,97
c9,2,42,fRS585,fRS585,6.945499837501983,0.09979802703576801,0.03144404613908945,0.06955625000000003,97
c9,3,25,fRS585,fRS585,11.565250231531955,0.059933608584630656,0.07936658464666102,0.6690749999999999,97
c9,3,35,fRS585,fRS585,17.2808810395569,0.040110638975715,0.05774733205893043,0.8654135416666667,97
c9,3,38,fRS585,fRS585,20.08352241441503,0.034513227622980924,0.02686155862678491,0.8904947916666668,97
c9,3,41,fRS585,fRS585,9.813301635676824,0.0706334326909884,0.04562110573282352,0.5225791666666668,97
c9,3,42,fRS585,fRS585,5.93156551741846,0.1168573757677412,0.034799709833108775,0.07677708333333336,97
d10,1,25,40_B8,40 evolved,10.714674908846789,0.06469138694890633,0.11681769004361772,0.6038739583333335,97
d10,1,35,40_B8,40 evolved,14.958912977104026,0.046336734602365155,0.059804885116738565,0.8888500000000001,97
d10,1,38,40_B8,40 evolved,16.124831283155515,0.04298632143109787,0.046502045671495976,0.8689218749999997,97
d10,1,41,40_B8,40 evolved,10.737087153535294,0.06455635226279408,0.05681825454309192,0.8021541666666666,97
d10,1,42,40_B8,40 evolved,7.41013923155415,0.09354037203624438,0.04589881133359067,0.4220677083333334,97
d10,2,25,35_E9,35 evolved,10.801592461596421,0.06417083249755394,0.09825527293173092,0.6513562499999999,97
d10,2,35,35_E9,35 evolved,16.854476144805464,0.0411254063671135,0.07124492769010407,0.8743885416666669,97
d10,2,38,35_E9,35 evolved,20.417075544499657,0.033949386093478924,0.022395643622374232,0.8907187500000003,97
d10,2,41,35_E9,35 evolved,9.750884678194806,0.07108556848282493,0.048935225249243264,0.5474729166666666,97
d10,2,42,35_E9,35 evolved,6.145782753136199,0.11278419827095769,0.04794057902318263,0.063209375,97
d10,3,25,35_C5,35 evolved,11.303873915542749,0.06131943665851339,0.07816183435112864,0.6214177083333333,97
d10,3,35,35_C5,35 evolved,17.079740259914246,0.040583004777112776,0.05847349111745348,0.8893041666666666,97
d10,3,38,35_C5,35 evolved,18.150112952670906,0.03818968963815425,0.0370751439041791,0.9038708333333333,97
d10,3,41,35_C5,35 evolved,9.187921603234738,0.07544112917941236,0.03922403047400558,0.43903125000000004,97
d10,3,42,35_C5,35 evolved,8.878129407883103,0.07807356130047884,0.03464797196306349,0.13575520833333338,97
d11,2,25,40_B2,40 evolved,9.900111874580023,0.07001407553178277,0.09560424813466042,0.6601739583333334,97
d11,2,35,40_B2,40 evolved,16.067681306761052,0.04313921637643378,0.0615883067514357,0.9580374999999998,97
d11,2,38,40_B2,40 evolved,16.630701617374335,0.04167876957372649,0.03412924051989068,0.9166260416666666,97
d11,2,41,40_B2,40 evolved,10.917358409135156,0.06349037510575367,0.05977507603614249,0.7770697916666668,97
d11,2,42,40_B2,40 evolved,7.369949606412414,0.09405046405702079,0.040411773299396714,0.43658020833333333,97
d2,1,25,40_B8,40 evolved,10.69523107501425,0.06480899530812818,0.1112184515613778,0.6469458333333332,97
d2,1,35,40_B8,40 evolved,15.021230828399739,0.0461444996404325,0.04825348374209061,0.89988645833333325,97
d2,1,38,40_B8,40 evolved,16.135809411639542,0.042957075339520596,0.036292288288447966,0.9152874999999998,97
d2,1,41,40_B8,40 evolved,10.200592025681006,0.06795166190500299,0.04516038601623287,0.7708000000000003,97
d2,1,42,40_B8,40 evolved,6.760418775634517,0.10253021352140838,0.02112774236923931,0.13956666666666667,97
d2,2,25,40_C9,40 evolved,10.704187722570621,0.06475476687487365,0.10059999335987696,0.6828989583333334,97
d2,2,35,40_C9,40 evolved,16.848545436646088,0.04113988255937688,0.06419102571812965,0.8869885416666666,97
d2,2,38,40_C9,40 evolved,17.715262608299504,0.03912711856922796,0.041928436843265665,0.89964375,97
d2,2,41,40_C9,40 evolved,11.050173643745635,0.06272726591516184,0.04287330463591568,0.7355135416666665,97
d2,2,42,40_C9,40 evolved,7.660789789787948,0.09047985907196282,0.035328797879336404,0.163996875,97
d2,3,25,35_C9,35 evolved,11.352193806805706,0.061058434374543495,0.06289483165608906,0.6158812500000002,97
d2,3,35,35_C9,35 evolved,18.015332142725928,0.03847540389866296,0.05420812962129114,0.8160864583333334,97
d2,3,38,35_C9,35 evolved,17.668134844764207,0.03923148575953694,0.03375717271328885,0.8926333333333334,97
d2,3,41,35_C9,35 evolved,10.41771902011618,0.06653540753225413,0.03948509068593911,0.6361041666666666,97
d2,3,42,35_C9,35 evolved,5.194368556243883,0.13344204845201998,0.03698758723354416,0.05543333333333335,97
d3,2,25,35_D8,35 evolved,10.963421801013403,0.06322361696380908,0.0922586760098193,0.6550875000000002,97
d3,2,35,35_D8,35 evolved,16.801396110128017,0.041255332355512445,0.07064609177274608,0.8863760416666666,97
d3,2,38,35_D8,35 evolved,18.58977807623379,0.03728646881729607,0.024475910755854466,0.8853104166666667,97
d3,2,41,35_D8,35 evolved,10.033832950867462,0.06908099665940923,0.04784167427823152,0.4290124999999999,97
d3,2,42,35_D8,35 evolved,7.715073359246005,0.08984323910922432,0.0437852129145032,0.07580729166666664,97
d4,1,25,40_F2,40 evolved,10.74223412682221,0.06452542109738894,0.10127100210513923,0.6740145833333333,97
d4,1,35,40_F2,40 evolved,16.527670319550563,0.041938589478035644,0.07046975691111201,0.8046072916666667,97
d4,1,38,40_F2,40 evolved,17.396577741020707,0.039843881416143194,0.028918360208255445,0.8956541666666664,97
d4,1,41,40_F2,40 evolved,10.227663857941796,0.06777179913101226,0.040512966528264735,0.698625,97
d4,1,42,40_F2,40 evolved,8.3932278314293,0.08258410166877453,0.05621575982633038,0.18968333333333337,97
d4,2,25,35_D8,35 evolved,10.895038581270724,0.06362044295570556,0.10958400963890175,0.6290145833333332,97
d4,2,35,35_D8,35 evolved,18.016710407907038,0.038472460558379294,0.08879048782550236,0.7222562499999998,97
d4,2,38,35_D8,35 evolved,17.81566980053827,0.03890660235176805,0.04097052556462097,0.9167791666666669,97
d4,2,41,35_D8,35 evolved,10.059565384628737,0.0689042870201024,0.043235756316726104,0.34269479166666666,97
