strain,evolution_history,method,r_tref,e,eh,th,topt,ctmax,rmax,r2
B6,35 evolved,logistic,1.9296000442395798,0.44265166271489637,12.906697545824906,312.98737021487625,37.666533306661336,41.95739147829566,6.838652485984015,0.978060223158738
B8,35 evolved,logistic,2.0754831568685095,0.4057730476778261,19.51492832585519,314.05502655969366,39.2368473694739,42.27745549109822,7.221212398842357,0.8540654216875185
C5,35 evolved,logistic,2.0141286466779524,0.41191471758488324,18.102588536455436,313.85246251883314,38.94678935787157,42.187437487497505,7.02959805554059,0.8304497317313628
C7,35 evolved,logistic,2.015679531762673,0.4133900381075336,15.497064064171294,313.62331793041983,38.51670334066814,42.21744348869774,6.890769159823966,0.9370785962109185
C9,35 evolved,logistic,1.8860011028181694,0.43605721755176796,24.779439921598378,313.99009009955375,39.466893378675735,41.907381476295264,7.323804975388053,0.9860372809776476
D2,35 evolved,logistic,2.099572923506829,0.4041523358897004,22.472724776193232,313.86485935106816,39.20684136827366,41.89737947589518,7.280158544209279,0.9041590287811527
D4,35 evolved,logistic,2.071679790732224,0.4001889298904401,18.676941120633426,313.74802627913454,38.87677535507102,42.027405481096224,6.956914977626673,0.9183777838803402
D8,35 evolved,logistic,1.9549592342075863,0.4176755712155965,19.648538713972403,313.7812927613293,38.98679735947189,41.987397479495904,6.9691275253459315,0.9123008565575982
E11,35 evolved,logistic,2.0690852128705632,0.40608429394524553,23.473787199101338,313.970794985934,39.36687337467494,41.947389477895584,7.27700075769311,0.9458084347609501
E7,35 evolved,logistic,2.1124970720155973,0.40354208911662065,24.782361878016122,313.96624723491817,39.41688337667534,41.87737547509502,7.396320041970547,0.9050836088721799
E9,35 evolved,logistic,3.3320012315761605,0.24068315845005928,23.378010141466063,314.1244657061092,39.32686537307462,42.0874174834967,7.012610998325714,0.8392051889435688
F2,35 evolved,logistic,2.0228229813355663,0.41958820452685647,25.692118896791772,314.06883070281043,39.56691338267654,41.947389477895584,7.505307988201902,0.8964679218922141
F4,35 evolved,logistic,1.8373680889247053,0.46153452555771063,15.754115319606385,313.63281730104046,38.606721344268855,42.20744148829766,7.288232516403208,0.9136908411376606
F6,35 evolved,logistic,1.9817425217488553,0.4274263326184006,15.387328604997604,313.16527043066077,38.076615323064615,41.76735347069414,6.903589619644385,0.9860718216008098
G11,35 evolved,logistic,1.9647451120977861,0.4129788933341083,15.932824851570967,313.62952376295806,38.566713342668535,42.17743548709742,6.727970930060149,0.9091790452735466
G5,35 evolved,logistic,2.009231844557796,0.44404012106342855,10.364101540224132,312.9492319026888,37.28645729145829,42.49749949989998,6.9445323164454855,0.9834597801315875
G9,35 evolved,logistic,2.0332327458617336,0.42131206148914574,14.145518925061545,313.06738243575325,37.84656931386277,41.8373674734947,6.862558993005611,0.986546683933538
B2,40 evolved,logistic,2.1376657187942887,0.3860438557817394,12.87509300863024,314.3199550125392,38.8867773554711,43.29765953190638,6.817218230170687,0.9452450635845118
B6,40 evolved,logistic,2.1369209863709173,0.3741893313974955,38.77278435230984,314.40524759018626,40.237047409481896,41.92738547709542,7.123472803864422,0.8509396460360793
B8,40 evolved,logistic,2.026507403601383,0.39819659696686527,37.63727019935414,314.75562082026937,40.57711542308462,42.29745949189838,7.412619691095047,0.9575301835551382
C5,40 evolved,logistic,2.3158981811068267,0.32284485490721293,28.256337856035667,314.43795998567015,39.94698939787958,42.21744348869774,6.451612833580195,0.9305923267003837
C7,40 evolved,logistic,2.391377437299449,0.33759255270422717,27.13295731486891,314.3000293337989,39.786957391478296,42.11742348469694,6.9316512465746545,0.8670456863748182
C9,40 evolved,logistic,2.0126798140401667,0.43235909048748994,22.10366663498734,314.1726440636057,39.52690538107622,42.227445489097825,7.732080328384754,0.9795093823165942
D2,40 evolved,logistic,2.07347748146134,0.3811715131489672,17.848572105145458,314.0276699932905,39.066813362672534,42.37747549509902,6.6256239129491306,0.973913147505991
D4,40 evolved,logistic,2.279109155198458,0.37034300873467074,19.869278056164365,314.58713801106376,39.746949389877976,42.77755551110222,7.275265150878943,0.8340967195043134
D8,40 evolved,logistic,2.2868968193203445,0.37216427001905084,30.860697494781427,314.238086571794,39.876975395079015,41.9373874774955,7.43527689424917,0.9205732996914301
E11,40 evolved,logistic,2.222735649021156,0.39352017307003223,28.694429011766896,314.28520175530633,39.876975395079015,42.04740948189638,7.722802332799236,0.9332786534462798
E7,40 evolved,logistic,2.161868701383816,0.4034060090159394,25.534318371177715,314.2483042854347,39.72694538907782,42.1374274854971,7.683022794505234,0.9723077957951775
E9,40 evolved,logistic,1.9031934847861314,0.4049660607702377,27.767734550410694,314.21096551250105,39.77695539107822,42.00740148029606,6.821509966228314,0.9812723485318869
F2,40 evolved,logistic,2.0667199654247472,0.40281273004269597,50,314.7566643868066,40.7871574314863,42.12742548509702,7.770858844808442,0.9067600030981717
F4,40 evolved,logistic,2.4170128569555023,0.33148118048185776,18.682317862479795,314.3539383031824,39.386877375475095,42.62752550510102,6.727519642255911,0.917279561187753
F6,40 evolved,logistic,2.2505613604265604,0.39758785140348435,32.0083139062768,314.31518119467245,40.00700140028006,41.987397479495904,7.9823575201413925,0.9273162809776537
G11,40 evolved,logistic,2.1586824888272638,0.41978977629453457,15.704015661768613,314.58266496608474,39.49689937987598,43.167633526705345,7.89970052991074,0.8869452756190985
G5,40 evolved,logistic,2.3378580362744645,0.34727117352189774,26.57444520458991,314.2835824009719,39.756951390278054,42.11742348469694,6.976183332347666,0.8730564062024836
G9,40 evolved,logistic,2.3197691783649934,0.39618961646298423,17.520211929449587,314.4397935675171,39.466893378675735,42.82756551310262,7.9045763156305915,0.8852659103251506
fRS585,fRS585,logistic,2.071743321543124,0.4053344454574541,21.633511919088324,313.9374419154625,39.2368473694739,42.01740348069614,7.215135489757155,0.928500464490437
