strain,evolution_history,r_tref,e,eh,th,topt,ctmax,rmax,b80,r2,n_obs
35_F6,35 evolved,0.5374872172121745,0.18171963045704273,22.049568909632807,313.920356231493,38.93839383938394,41.94169416941694,0.9344186701792389,11.699669966996698,0.9733593523499622,15
35_G11,35 evolved,0.5205800209179688,0.19575488547024972,16.4306586427893,313.97198407352795,38.55335533553355,42.409240924092416,0.9332626957065203,11.40814081408141,0.8952125740896935,15
35_G5,35 evolved,0.5607655622411878,0.17845957271590865,17.982351568503837,313.841520973764,38.53135313531353,42.13421342134214,0.9552654334489911,12.161716171617162,0.9754191973944403,15
35_G9,35 evolved,0.5525548881740959,0.17791298114851828,21.838985091438474,313.92590511642743,38.92189218921892,41.95819581958196,0.9491420861689023,11.925192519251922,0.9873470212675127,15
40_B2,40 evolved,0.49316390414967154,0.2335236123632248,11.772847765792203,314.7591536442256,38.80638063806381,43.88338833883389,0.990775319676184,10.533553355335538,0.904624526135148,15
40_B6,40 evolved,0.4679544191925812,0.21331677938833515,35.91607990198858,314.4814136298528,40.12101210121013,42.04620462046205,0.9264015448258104,9.735973597359738,0.9616411982843662,15
40_B8,40 evolved,0.48924196229008476,0.21464564526773006,20.35307867980362,314.6458204003922,39.603960396039604,42.77777777777778,0.9555479508486436,10.313531353135314,0.9201793275400377,15
40_C5,40 evolved,0.48704952093123954,0.2203577340472641,25.712630589389118,314.4800586058419,39.763476347634764,42.33773377337734,0.9746273477031828,9.79097909790979,0.9839128808241797,15
40_C7,40 evolved,0.5534504914912202,0.15808045680147742,24.07857024000584,314.4500478703713,39.53245324532453,42.370737073707375,0.9060529745604738,13.102310231023104,0.9822349700749045,15
40_C9,40 evolved,0.5185712217505635,0.21185241853676165,25.912040412870564,314.46373265768653,39.74147414741474,42.31023102310231,1.0098571740923767,10.115511551155112,0.99178012941315,15
40_D2,40 evolved,0.4772705545307895,0.21150361246826482,16.602963176826375,314.39322971181804,39.02640264026403,42.82178217821782,0.9076386393261194,10.720572057205718,0.937554508451766,15
40_D4,40 evolved,0.5235170035601886,0.1856789481477845,11.816324916515203,314.87859846895026,38.76787678767877,43.97689768976898,0.9109329061920437,12.590759075907592,0.7861912139854152,15
40_D8,40 evolved,0.49978730258441323,0.20224657090918824,28.513317279198745,314.40061155495795,39.77997799779978,42.15621562156216,0.9458380376172343,10.418041804180419,0.9908970975600497,15
40_E11,40 evolved,0.5304226093316309,0.1875142569686885,27.520080981329222,314.52739387856053,39.840484048404846,42.315731573157315,0.9592971928228966,11.171617161716174,0.9938046002009507,15
40_E7,40 evolved,0.5254909280254871,0.19331605710051977,30.930421972344636,314.45338102430355,39.91199119911992,42.13421342134214,0.9703030681192312,10.753575357535752,0.9945171629832988,15
40_E9,40 evolved,0.4381892956561723,0.23833766470838705,27.852306683752804,314.47170799731015,39.873487348734876,42.249724972497255,0.9314972399390873,9.075907590759076,0.9770985456769611,15
40_F2,40 evolved,0.5280002765764574,0.18693493879932743,26.956906941364753,314.73284466737584,40.01650165016502,42.54125412541254,0.9567748702716402,11.237623762376238,0.921716642163223,15
40_F4,40 evolved,0.5378716881493839,0.1941440652589843,18.585118151090747,314.6492159781408,39.42244224422443,42.90429042904291,0.9804900642134081,11.342134213421339,0.9136433558900129,15
40_F6,40 evolved,0.5481138300933404,0.19172309429693085,28.712164161853657,314.48329798488453,39.85698569856986,42.233223322332236,1.0051713787514749,10.907590759075912,0.9570974142058719,15
40_G11,40 evolved,0.5362902833979242,0.2129985631732259,13.289770718808663,314.76877456510204,38.993399339933994,43.613861386138616,1.0203857370400973,11.07260726072607,0.8406370595910575,15
40_G5,40 evolved,0.4678437472848623,0.2333417267246265,23.831669286768697,314.327812525699,39.53795379537954,42.266226622662266,0.96846775826118,9.405940594059409,0.9730688798083237,15
40_G9,40 evolved,0.5945248388759368,0.18431050358175913,14.244262941317926,314.85604510089456,39.12541254125413,43.55335533553355,1.0413168290486094,12.2992299229923,0.9000816611077144,15
fRS585,fRS585,0.5290314126817575,0.19130202114137893,25.91927319613456,314.2650070114971,39.51595159515952,42.11221122112212,0.9607102906980775,11.028602860286032,0.9831795971374278,45
