strain,evolution_history,rate_metric,r_tref,e,eh,th,topt,ctmax,rmax,b80,r2,n_obs
40_B2,40 evolved,r,6.103258024634626,0.4196158021444315,12.52653532718292,314.5131605565522,39.0924092409241,43.56435643564357,21.728640877546784,6.716171617161713,0.9310462767830615,15
40_B6,40 evolved,r,6.0236049939002765,0.42384508637998286,50,315.2386978891444,41.27612761276128,42.60726072607261,24.868058587126004,5.192519251925191,0.4979389339451272,15
40_B8,40 evolved,r,3.5864065634971825,0.6966014906625513,50,315.1243482651847,41.24862486248625,42.50275027502751,36.787634466926896,3.399339933993396,0.47951731839722966,15
40_C5,40 evolved,r,6.730325098432223,0.35526500209895234,11.894504939797075,314.9403774137427,39.30693069306931,44.0979097909791,19.873729278082028,7.689768976897689,0.7160117606145275,15
40_C7,40 evolved,r,1.0314028939441817,1.9076440255347173,2.494476322639699,303,33.63586358635864,50,25.80551245623264,10.880088008800879,0.2961276167469794,15
40_C9,40 evolved,r,4.049093032150352,0.6662366792096133,3.7047563706457804,314.6712726236142,38.06380638063806,51.52365236523653,24.257770330780644,8.366336633663366,0.2669480727836455,15
40_D2,40 evolved,r,4.420452851032392,0.6097358007447736,6.443223677533496,313.99626257543247,37.8987898789879,45.70407040704071,24.39509741551446,6.655665566556657,0.4993275024600925,15
40_D4,40 evolved,r,7.222258505875766,0.42015700074329865,20.71294843681911,314.77604149154115,40.03850385038504,42.91529152915292,27.366057039359045,5.979097909790973,0.4579914819691021,15
40_D8,40 evolved,r,5.697188773208686,0.553131683218532,9.88615283057656,314.6739425283529,39.103410341034106,44.46094609460946,30.022463472243807,6.001100110011002,0.40852796687021087,15
40_E11,40 evolved,r,7.07560104751473,0.42648045567994564,14.012392812269002,314.99492040198993,39.74697469746975,43.80638063806381,26.686176716388502,6.46864686468647,0.34425715293362724,15
40_E7,40 evolved,r,3.1748655956833374,0.8660510137544774,3.7795654913566312,313.4248319965564,37.579757975797584,50.863586358635864,30.86498776954745,7.376237623762378,0.3971950338918261,15
40_E9,40 evolved,r,4.19996540796456,0.611258901655672,7.390704915327209,314.2045364975775,38.31133113311331,45.1925192519252,24.313589486330315,6.2871287128712865,0.5424293799329072,15
40_F2,40 evolved,r,5.943735644875956,0.5246880697957095,36.69400829922152,314.7805380846903,40.64906490649065,42.34873487348735,32.952017923240035,4.515951595159514,0.5957044018086307,15
40_F4,40 evolved,r,6.356944093613209,0.38655221994364464,9.040365543689308,314.8520850256924,38.789878987898796,44.82948294829483,19.949043035067966,7.810781078107809,0.9922804807749322,15
40_F6,40 evolved,r,5.311818858388992,0.5752941340916424,14.290012982217137,314.7429116720841,39.70847084708471,43.55335533553355,31.77561843256149,5.203520352035206,0.45116316303016935,15
40_G11,40 evolved,r,0.7584270611082136,2.0877734165839046,2.7162175416782834,303,33.38833883388339,50,27.20260054923954,10.033003300330034,0.30633289745282055,15
40_G5,40 evolved,r,8.238498239981679,0.3557610731045129,19.139844072369005,314.95888330763364,40.04950495049505,43.2013201320132,25.428134858542794,6.925192519251922,0.30373028477195396,15
40_G9,40 evolved,r,5.8656241203307795,0.4672903016080501,24.96491237894721,314.84095582530995,40.341034103410344,42.76127612761277,26.350759810640945,5.308030803080307,0.6225948730581934,15
fRS585,fRS585,r,1.113722186581718,1.8262183136889303,2.3605422500454494,303,34.02640264026403,50,23.983628955972655,11.71067106710671,0.26869083503268565,45
35_B2,35 evolved,rk4,1.1113601065178391,0.734371461869622,23.180017323274598,313.69429919249416,39.2959295929593,41.721672167216724,10.73330312045817,3.800880088008803,0.861723880349655,15
35_B6,35 evolved,rk4,1.5851051373207508,0.633481012784084,8.678087458912668,311.9127154770521,36.32563256325633,42.16721672167217,8.524271303966595,5.6930693069306955,0.8418042824463001,15
35_B8,35 evolved,rk4,1.697192530370184,0.5377196831931309,27.934471007388872,314.24622986287307,39.9009900990099,42.04620462046205,9.320470858459146,4.625962596259626,0.6597048686315874,15
35_C5,35 evolved,rk4,2.177452739456941,0.402802593339432,21.078940262178087,314.13726863061027,39.40594059405941,42.249724972497255,7.580438869026783,6.13311331133113,0.5892145938326584,15
35_C7,35 evolved,rk4,1.6137794617001144,0.5624286239199959,16.39733226866347,313.5333673707965,38.66886688668867,42.05720572057206,8.696744509928008,5.044004400440045,0.808416635356245,15
35_C9,35 evolved,rk4,0.9702432928957307,0.7730171390137025,24.7986727589044,313.71302727468134,39.38943894389439,41.66116611661166,10.673317209427132,3.5973597359735976,0.8395324771592423,15
35_D2,35 evolved,rk4,2.1911128762509797,0.3983097929910535,20.67747997045808,313.7145728862368,38.960396039603964,41.84818481848185,7.362699451271321,6.193619361936193,0.9670494133345388,15
35_D4,35 evolved,rk4,1.685947548431788,0.5400685094624239,20.534557647481165,313.85580864506414,39.21892189218922,42.01870187018702,8.864710758686932,4.917491749174914,0.7207955431384817,15
35_D8,35 evolved,rk4,2.1885671389355728,0.3945781428228571,17.59888532676847,313.77175525318785,38.81188118811882,42.13971397139714,7.1959500513225265,6.452145214521451,0.8895530816904682,15
35_E11,35 evolved,rk4,2.210636880352753,0.39270179280823964,22.278235087393295,313.9335651546417,39.25742574257426,41.969196919691974,7.41517364354893,6.182618261826185,0.9664381610722592,15
35_E7,35 evolved,rk4,1.8292507435579028,0.5501505126705767,28.332420086203665,313.96982953845003,39.64796479647965,41.754675467546754,10.279710068091164,4.526952695269529,0.7464683584568159,15
35_E9,35 evolved,rk4,1.7075263686144109,0.5339002781813084,24.813558055389823,314.0436261538444,39.592959295929596,41.969196919691974,9.06127694325733,4.763476347634757,0.6675936648662756,15
35_F2,35 evolved,rk4,1.5220279654864544,0.5760320804748706,29.037664797922965,314.1512569856539,39.86248624862486,41.919691969196926,9.418537760683455,4.350935093509349,0.6464698361464964,15
35_F4,35 evolved,rk4,1.2650942520146047,0.6757410667219713,17.01087819879384,313.66565328685584,38.93839383938394,42.15071507150715,9.794586690456965,4.394939493949394,0.6662653975124457,15
35_F6,35 evolved,rk4,1.5566911504716654,0.575337860359087,24.39869263969915,313.43318454586563,38.998899889989005,41.38063806380638,9.024431467708187,4.4939493949394915,0.8675095549675468,15
35_G11,35 evolved,rk4,2.0897915194779664,0.4135212257754622,13.820425415238248,313.52982450785345,38.261826182618265,42.34873487348735,7.033454796941304,6.578657865786582,0.8857334092964179,15
35_G5,35 evolved,rk4,1.7701996404214595,0.579090425926576,10.960608303955032,312.8312268228025,37.475247524752476,42.27722772277228,9.063809869391353,5.566556655665565,0.7979717188853788,15
35_G9,35 evolved,rk4,1.6594730284266739,0.6119412704448586,9.11736513958757,311.94207862148176,36.391639163916395,41.991199119912,8.499680553998475,5.704070407040703,0.866300377995083,15
40_B2,40 evolved,rk4,2.302827034175162,0.38791850520499044,13.585193947616784,314.3897020225316,39.04290429042904,43.245324532453246,7.450956046777012,6.9581958195819595,0.9361043700315113,15
40_B6,40 evolved,rk4,1.9418858531301177,0.4309456167057285,50,314.69859271895,40.742574257425744,42.06820682068207,7.990299541635451,5.099009900990097,0.6130936504222118,15
40_B8,40 evolved,rk4,1.25395555988782,0.664018272273909,50,314.8287160099308,40.94609460946095,42.20572057205721,11.266347597848672,3.5313531353135303,0.7946109452360095,15
40_C5,40 evolved,rk4,2.4848154687415103,0.32353036244577826,27.961864840160185,314.3742400219714,39.873487348734876,42.15621562156216,6.916941703042288,7.002200220022004,0.9844485578931366,15
40_C7,40 evolved,rk4,2.8070270135731104,0.33557951822471965,32.30097122785586,314.4744058837297,40.12651265126513,42.12871287128713,8.212375952090833,6.6611661166116605,0.5573978222753053,15
40_C9,40 evolved,rk4,1.5364237737891242,0.5942654966801533,20.843735319960413,314.05792687496717,39.47744774477448,42.211221122112214,9.720390929999853,4.570957095709566,0.7993274068303793,15
40_D2,40 evolved,rk4,1.75656752496099,0.5110621038676216,18.355700316527226,313.9588624592385,39.17491749174918,42.282728272827285,8.399029666781272,5.269526952695273,0.8057307838237338,15
40_D4,40 evolved,rk4,2.5992687743543117,0.3709325517222072,23.715167727177743,314.6629645306614,40.02750275027503,42.62926292629263,8.44319137316432,6.430143014301429,0.5599488750870145,15
40_D8,40 evolved,rk4,2.1970731205836636,0.47371737006086106,32.63822920492201,314.26343236763427,40.01650165016502,41.919691969196926,9.939682294406149,4.983498349834981,0.6515203823292574,15
40_E11,40 evolved,rk4,2.537221188716637,0.38515903142313257,34.169151953294005,314.4602875513761,40.1980198019802,42.073707370737075,8.732944877856637,5.885588558855886,0.6383856368690051,15
40_E7,40 evolved,rk4,1.6149050310010875,0.6275733889921865,25.79303268215628,314.04004977617757,39.680968096809686,41.93069306930693,11.57051010399102,4.169416941694166,0.8258820483763609,15
40_E9,40 evolved,rk4,1.5950679057801394,0.5386133151193307,25.92327310324645,314.12088485481235,39.713971397139716,42.002200220022004,8.664728150796229,4.691969196919693,0.8076854986076093,15
40_F2,40 evolved,rk4,1.8302145838002148,0.5561317217747963,50,314.7191015828649,40.80308030803081,42.090209020902094,11.405653972879545,4.097909790979095,0.6064329232363241,15
40_F4,40 evolved,rk4,2.518072870894539,0.33273385922505766,19.214951606286267,314.4364356797442,39.504950495049506,42.667766776677674,7.073205471714934,7.271727172717277,0.9449516495223974,15
40_F6,40 evolved,rk4,2.2009833815775712,0.49363454704739473,34.406500425950874,314.32115313008393,40.12651265126513,41.93619361936194,10.686881584613054,4.779977997799783,0.6416454925893653,15
40_G11,40 evolved,rk4,1.342555330845074,0.7972619621339598,3.830333129548601,311.6719056208471,35.62706270627063,48.47634763476348,9.081686724085793,7.475247524752479,0.6850771462050254,15
40_G5,40 evolved,rk4,2.8214509184720638,0.3420566635159915,33.305930561199354,314.4049472948754,40.09350935093509,42.035203520352034,8.417872388519719,6.523652365236522,0.5894260570036036,15
40_G9,40 evolved,rk4,2.3225411628771546,0.4157206738512971,26.725581506540188,314.6920133314736,40.22552255225523,42.530253025302535,8.798161639376469,5.748074807480748,0.6879762591507455,15
fRS585,fRS585,rk4,2.2048281896002018,0.4361899350671191,21.967132736813664,313.9724577741074,39.32343234323432,42.035203520352034,8.481700288407053,5.709570957095707,0.6955653519769855,45
